Date,Load (MW)
1/1/2015,10541
1/1/2015,10224
1/1/2015,9940
1/1/2015,9787
1/1/2015,9774
1/1/2015,9956
1/1/2015,10330
1/1/2015,10545
1/1/2015,10608
1/1/2015,10524
1/1/2015,10485
1/1/2015,10342
1/1/2015,10137
1/1/2015,9985
1/1/2015,9964
1/1/2015,10196
1/1/2015,10859
1/1/2015,12335
1/1/2015,12901
1/1/2015,12827
1/1/2015,12625
1/1/2015,12219
1/1/2015,11566
1/1/2015,10847
1/2/2015,10267
1/2/2015,9888
1/2/2015,9708
1/2/2015,9710
1/2/2015,9922
1/2/2015,10423
1/2/2015,11050
1/2/2015,11609
1/2/2015,11829
1/2/2015,11785
1/2/2015,11633
1/2/2015,11369
1/2/2015,11078
1/2/2015,10838
1/2/2015,10798
1/2/2015,10975
1/2/2015,11505
1/2/2015,12846
1/2/2015,13327
1/2/2015,13132
1/2/2015,12847
1/2/2015,12426
1/2/2015,11938
1/2/2015,11201
1/3/2015,10567
1/3/2015,10401
1/3/2015,10188
1/3/2015,10064
1/3/2015,10037
1/3/2015,10314
1/3/2015,10780
1/3/2015,10924
1/3/2015,11085
1/3/2015,11167
1/3/2015,10992
1/3/2015,10769
1/3/2015,10547
1/3/2015,10371
1/3/2015,10322
1/3/2015,10528
1/3/2015,11091
1/3/2015,12453
1/3/2015,12876
1/3/2015,12788
1/3/2015,12550
1/3/2015,12101
1/3/2015,11494
1/3/2015,10800
1/4/2015,10183
1/4/2015,9791
1/4/2015,9549
1/4/2015,9439
1/4/2015,9474
1/4/2015,9656
1/4/2015,10023
1/4/2015,10395
1/4/2015,10784
1/4/2015,11032
1/4/2015,10928
1/4/2015,10686
1/4/2015,10499
1/4/2015,10380
1/4/2015,10354
1/4/2015,10573
1/4/2015,11109
1/4/2015,12607
1/4/2015,13140
1/4/2015,13019
1/4/2015,12647
1/4/2015,12025
1/4/2015,11166
1/4/2015,10273
1/5/2015,9906
1/5/2015,9664
1/5/2015,9551
1/5/2015,9597
1/5/2015,9735
1/5/2015,10241
1/5/2015,11314
1/5/2015,12278
1/5/2015,12244
1/5/2015,11999
1/5/2015,11779
1/5/2015,11586
1/5/2015,11378
1/5/2015,11370
1/5/2015,11362
1/5/2015,11441
1/5/2015,11816
1/5/2015,13138
1/5/2015,13557
1/5/2015,13331
1/5/2015,12931
1/5/2015,12238
1/5/2015,11475
1/5/2015,10512
1/6/2015,9942
1/6/2015,9879
1/6/2015,9722
1/6/2015,9659
1/6/2015,9922
1/6/2015,10362
1/6/2015,11475
1/6/2015,12432
1/6/2015,12305
1/6/2015,12079
1/6/2015,11822
1/6/2015,11580
1/6/2015,11381
1/6/2015,11343
1/6/2015,11292
1/6/2015,11275
1/6/2015,11593
1/6/2015,12725
1/6/2015,13164
1/6/2015,12944
1/6/2015,12544
1/6/2015,11953
1/6/2015,11189
1/6/2015,10290
1/7/2015,9749
1/7/2015,9765
1/7/2015,9923
1/7/2015,9905
1/7/2015,10032
1/7/2015,10208
1/7/2015,11434
1/7/2015,12410
1/7/2015,12399
1/7/2015,12132
1/7/2015,12291
1/7/2015,12132
1/7/2015,12000
1/7/2015,11925
1/7/2015,12002
1/7/2015,11740
1/7/2015,11862
1/7/2015,12822
1/7/2015,13246
1/7/2015,12944
1/7/2015,12577
1/7/2015,11959
1/7/2015,11149
1/7/2015,10261
1/8/2015,9611
1/8/2015,9721
1/8/2015,9750
1/8/2015,9687
1/8/2015,9862
1/8/2015,10108
1/8/2015,11195
1/8/2015,12191
1/8/2015,12197
1/8/2015,12036
1/8/2015,11944
1/8/2015,11965
1/8/2015,12217
1/8/2015,12154
1/8/2015,11836
1/8/2015,11743
1/8/2015,11749
1/8/2015,12748
1/8/2015,13084
1/8/2015,12834
1/8/2015,12448
1/8/2015,11897
1/8/2015,11156
1/8/2015,10261
1/9/2015,9927
1/9/2015,9882
1/9/2015,9754
1/9/2015,9647
1/9/2015,9513
1/9/2015,10085
1/9/2015,10993
1/9/2015,11985
1/9/2015,12069
1/9/2015,12090
1/9/2015,12041
1/9/2015,11915
1/9/2015,11734
1/9/2015,11660
1/9/2015,11557
1/9/2015,11556
1/9/2015,11651
1/9/2015,12557
1/9/2015,12782
1/9/2015,12474
1/9/2015,12098
1/9/2015,11646
1/9/2015,10968
1/9/2015,10142
1/10/2015,9603
1/10/2015,9621
1/10/2015,9549
1/10/2015,9271
1/10/2015,9144
1/10/2015,9379
1/10/2015,9608
1/10/2015,10105
1/10/2015,10507
1/10/2015,10746
1/10/2015,10778
1/10/2015,10684
1/10/2015,10546
1/10/2015,10793
1/10/2015,10494
1/10/2015,10522
1/10/2015,10755
1/10/2015,11868
1/10/2015,12189
1/10/2015,11961
1/10/2015,11643
1/10/2015,11208
1/10/2015,10592
1/10/2015,9865
1/11/2015,9370
1/11/2015,9121
1/11/2015,9083
1/11/2015,8998
1/11/2015,8999
1/11/2015,8990
1/11/2015,9240
1/11/2015,9686
1/11/2015,10132
1/11/2015,10438
1/11/2015,10458
1/11/2015,10372
1/11/2015,10235
1/11/2015,10118
1/11/2015,10114
1/11/2015,10283
1/11/2015,10703
1/11/2015,12058
1/11/2015,12532
1/11/2015,12311
1/11/2015,12107
1/11/2015,11466
1/11/2015,10624
1/11/2015,9763
1/12/2015,9254
1/12/2015,8983
1/12/2015,9037
1/12/2015,9151
1/12/2015,9177
1/12/2015,9726
1/12/2015,11028
1/12/2015,12135
1/12/2015,12315
1/12/2015,12232
1/12/2015,12053
1/12/2015,11808
1/12/2015,11611
1/12/2015,11534
1/12/2015,11516
1/12/2015,11597
1/12/2015,11824
1/12/2015,12926
1/12/2015,13407
1/12/2015,13157
1/12/2015,12718
1/12/2015,12051
1/12/2015,11044
1/12/2015,10076
1/13/2015,9640
1/13/2015,9659
1/13/2015,9458
1/13/2015,9449
1/13/2015,9659
1/13/2015,10222
1/13/2015,11244
1/13/2015,12269
1/13/2015,12219
1/13/2015,12123
1/13/2015,12186
1/13/2015,12024
1/13/2015,11870
1/13/2015,11810
1/13/2015,11636
1/13/2015,11450
1/13/2015,11760
1/13/2015,12894
1/13/2015,13414
1/13/2015,13211
1/13/2015,12802
1/13/2015,12142
1/13/2015,11198
1/13/2015,10267
1/14/2015,9903
1/14/2015,9865
1/14/2015,9674
1/14/2015,9644
1/14/2015,9598
1/14/2015,10271
1/14/2015,11558
1/14/2015,12620
1/14/2015,12613
1/14/2015,12376
1/14/2015,12216
1/14/2015,11939
1/14/2015,11698
1/14/2015,11383
1/14/2015,11401
1/14/2015,11546
1/14/2015,11879
1/14/2015,13004
1/14/2015,13480
1/14/2015,13259
1/14/2015,12874
1/14/2015,12206
1/14/2015,11376
1/14/2015,10501
1/15/2015,9969
1/15/2015,9608
1/15/2015,9398
1/15/2015,9351
1/15/2015,9607
1/15/2015,10285
1/15/2015,11523
1/15/2015,12578
1/15/2015,12662
1/15/2015,12647
1/15/2015,12467
1/15/2015,12245
1/15/2015,12001
1/15/2015,11890
1/15/2015,11654
1/15/2015,11727
1/15/2015,12203
1/15/2015,13214
1/15/2015,13551
1/15/2015,13301
1/15/2015,12881
1/15/2015,12212
1/15/2015,11356
1/15/2015,10453
1/16/2015,9949
1/16/2015,9783
1/16/2015,9580
1/16/2015,9560
1/16/2015,9640
1/16/2015,10096
1/16/2015,11231
1/16/2015,12295
1/16/2015,12488
1/16/2015,12590
1/16/2015,12527
1/16/2015,12386
1/16/2015,12159
1/16/2015,11987
1/16/2015,11747
1/16/2015,11710
1/16/2015,11936
1/16/2015,12719
1/16/2015,13017
1/16/2015,12681
1/16/2015,12248
1/16/2015,11748
1/16/2015,11051
1/16/2015,10230
1/17/2015,9643
1/17/2015,9613
1/17/2015,9428
1/17/2015,9327
1/17/2015,9367
1/17/2015,9325
1/17/2015,9746
1/17/2015,10325
1/17/2015,10831
1/17/2015,11182
1/17/2015,11308
1/17/2015,11133
1/17/2015,11114
1/17/2015,10876
1/17/2015,10749
1/17/2015,10754
1/17/2015,10823
1/17/2015,11708
1/17/2015,12102
1/17/2015,11880
1/17/2015,11564
1/17/2015,11103
1/17/2015,10608
1/17/2015,9982
1/18/2015,9441
1/18/2015,8953
1/18/2015,8720
1/18/2015,8603
1/18/2015,8630
1/18/2015,8818
1/18/2015,9164
1/18/2015,9667
1/18/2015,10150
1/18/2015,10796
1/18/2015,11075
1/18/2015,10987
1/18/2015,10882
1/18/2015,10841
1/18/2015,11069
1/18/2015,10810
1/18/2015,10950
1/18/2015,11705
1/18/2015,12237
1/18/2015,12025
1/18/2015,11664
1/18/2015,11155
1/18/2015,10456
1/18/2015,9686
1/19/2015,9159
1/19/2015,9172
1/19/2015,9323
1/19/2015,9090
1/19/2015,9153
1/19/2015,9413
1/19/2015,10136
1/19/2015,10903
1/19/2015,11341
1/19/2015,11789
1/19/2015,12246
1/19/2015,11954
1/19/2015,11757
1/19/2015,11624
1/19/2015,11515
1/19/2015,11517
1/19/2015,11786
1/19/2015,12807
1/19/2015,13263
1/19/2015,13008
1/19/2015,12514
1/19/2015,11820
1/19/2015,11056
1/19/2015,10206
1/20/2015,9756
1/20/2015,9535
1/20/2015,9364
1/20/2015,9347
1/20/2015,9514
1/20/2015,10026
1/20/2015,11223
1/20/2015,12052
1/20/2015,12257
1/20/2015,12278
1/20/2015,12185
1/20/2015,11920
1/20/2015,11694
1/20/2015,11605
1/20/2015,11497
1/20/2015,11572
1/20/2015,11859
1/20/2015,12771
1/20/2015,13357
1/20/2015,13173
1/20/2015,12726
1/20/2015,12063
1/20/2015,11245
1/20/2015,10380
1/21/2015,9798
1/21/2015,9778
1/21/2015,9603
1/21/2015,9615
1/21/2015,9883
1/21/2015,10561
1/21/2015,11369
1/21/2015,12369
1/21/2015,12549
1/21/2015,12413
1/21/2015,12246
1/21/2015,12048
1/21/2015,11854
1/21/2015,11786
1/21/2015,11658
1/21/2015,11741
1/21/2015,11943
1/21/2015,12844
1/21/2015,13425
1/21/2015,13292
1/21/2015,12935
1/21/2015,12275
1/21/2015,11454
1/21/2015,10534
1/22/2015,9952
1/22/2015,9904
1/22/2015,9740
1/22/2015,9727
1/22/2015,9763
1/22/2015,10321
1/22/2015,11637
1/22/2015,12795
1/22/2015,12910
1/22/2015,12760
1/22/2015,12595
1/22/2015,12243
1/22/2015,11752
1/22/2015,11585
1/22/2015,11482
1/22/2015,11560
1/22/2015,11850
1/22/2015,12749
1/22/2015,13453
1/22/2015,13300
1/22/2015,12951
1/22/2015,12280
1/22/2015,11530
1/22/2015,10677
1/23/2015,10103
1/23/2015,9839
1/23/2015,9876
1/23/2015,9875
1/23/2015,9921
1/23/2015,10498
1/23/2015,11451
1/23/2015,12539
1/23/2015,12535
1/23/2015,12364
1/23/2015,12211
1/23/2015,11950
1/23/2015,11704
1/23/2015,11581
1/23/2015,11458
1/23/2015,11480
1/23/2015,11647
1/23/2015,12398
1/23/2015,12949
1/23/2015,12661
1/23/2015,12273
1/23/2015,11779
1/23/2015,11197
1/23/2015,10422
1/24/2015,9801
1/24/2015,9399
1/24/2015,9195
1/24/2015,9402
1/24/2015,9464
1/24/2015,9538
1/24/2015,9905
1/24/2015,10466
1/24/2015,10913
1/24/2015,11130
1/24/2015,10993
1/24/2015,10849
1/24/2015,10623
1/24/2015,10707
1/24/2015,10631
1/24/2015,10736
1/24/2015,10727
1/24/2015,11598
1/24/2015,12277
1/24/2015,12080
1/24/2015,11773
1/24/2015,11311
1/24/2015,10790
1/24/2015,10102
1/25/2015,9539
1/25/2015,9334
1/25/2015,9404
1/25/2015,9512
1/25/2015,9304
1/25/2015,9405
1/25/2015,9889
1/25/2015,10310
1/25/2015,10737
1/25/2015,10962
1/25/2015,10940
1/25/2015,10747
1/25/2015,10487
1/25/2015,10271
1/25/2015,10241
1/25/2015,10386
1/25/2015,10611
1/25/2015,11717
1/25/2015,12493
1/25/2015,12393
1/25/2015,12108
1/25/2015,11566
1/25/2015,10722
1/25/2015,9855
1/26/2015,9323
1/26/2015,9338
1/26/2015,9221
1/26/2015,9268
1/26/2015,9318
1/26/2015,10000
1/26/2015,11212
1/26/2015,12359
1/26/2015,12513
1/26/2015,12488
1/26/2015,12288
1/26/2015,12033
1/26/2015,11878
1/26/2015,11874
1/26/2015,11765
1/26/2015,11804
1/26/2015,12000
1/26/2015,12880
1/26/2015,13426
1/26/2015,13146
1/26/2015,12689
1/26/2015,11936
1/26/2015,11028
1/26/2015,10136
1/27/2015,9613
1/27/2015,9396
1/27/2015,9527
1/27/2015,9508
1/27/2015,9492
1/27/2015,10037
1/27/2015,11035
1/27/2015,12043
1/27/2015,12183
1/27/2015,12227
1/27/2015,12219
1/27/2015,12049
1/27/2015,11929
1/27/2015,11873
1/27/2015,11779
1/27/2015,11733
1/27/2015,11791
1/27/2015,12589
1/27/2015,13253
1/27/2015,13028
1/27/2015,12619
1/27/2015,11931
1/27/2015,11097
1/27/2015,10234
1/28/2015,9773
1/28/2015,9899
1/28/2015,9817
1/28/2015,9775
1/28/2015,9763
1/28/2015,10247
1/28/2015,11167
1/28/2015,12186
1/28/2015,12215
1/28/2015,12082
1/28/2015,11923
1/28/2015,11754
1/28/2015,11593
1/28/2015,11585
1/28/2015,11625
1/28/2015,11681
1/28/2015,11940
1/28/2015,12626
1/28/2015,13305
1/28/2015,13081
1/28/2015,12666
1/28/2015,12004
1/28/2015,11139
1/28/2015,10254
1/29/2015,9636
1/29/2015,9577
1/29/2015,9561
1/29/2015,9755
1/29/2015,9770
1/29/2015,10335
1/29/2015,11205
1/29/2015,12189
1/29/2015,12202
1/29/2015,12060
1/29/2015,11877
1/29/2015,11686
1/29/2015,11536
1/29/2015,11526
1/29/2015,11546
1/29/2015,11613
1/29/2015,11847
1/29/2015,12497
1/29/2015,13229
1/29/2015,12998
1/29/2015,12629
1/29/2015,11967
1/29/2015,11120
1/29/2015,10272
1/30/2015,9908
1/30/2015,9578
1/30/2015,9402
1/30/2015,9352
1/30/2015,9599
1/30/2015,10126
